date,published_utc,composite_score,catalyst_type,keyword_score,ticker_score,publisher_score,recency_score,title,tickers,ticker_count,keywords_matched,publisher,url,description
2025-01-06,2025-01-06T09:42:00Z,18,Corporate Event,1,7,0,1,25 Top Dividend Stocks to Buy and Hold in 2025,"ARCC, EPD, D, PFE, O, TGT, UPS",7,sec,The Motley Fool,https://www.fool.com/investing/2025/01/06/25-top-dividend-stocks-to-buy-and-hold-in-2025/?source=iedfolrf0000001,"The article discusses 25 top dividend stocks to buy and hold in 2025, including companies from the financial, energy, healthcare, utility, and real estate sectors. It highlights the potential benefits of these stocks, such as attractive dividend yields, strong balance sheets, and promising growth prospects."
2025-01-06,2025-01-06T21:00:00Z,17,Mixed,5,1,0,0,"WOLF INVESTOR ALERT: Bronstein, Gewirtz & Grossman LLC Announces that Wolfspeed, Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit",WOLF,1,"revenue, lawsuit, sec, loss, guidance",GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/06/3004943/9788/en/WOLF-INVESTOR-ALERT-Bronstein-Gewirtz-Grossman-LLC-Announces-that-Wolfspeed-Inc-Investors-with-Substantial-Losses-Have-Opportunity-to-Lead-Class-Action-Lawsuit.html,"Wolfspeed, Inc. (WOLF) announced lower-than-expected revenue and guidance, leading to a 39% drop in stock price. A class action lawsuit has been filed on behalf of investors who purchased Wolfspeed securities between August 16, 2023, and November 06, 2024."
2025-01-06,2025-01-06T15:24:49Z,17,Mixed,3,3,0,2,SunLink Joins Forces With Regional Health Properties In All-Stock Deal: Shares Surge,"SSY, RHE, RHEpA",3,"rate, merger, deal",Benzinga,https://www.benzinga.com/25/01/42818706/sunlink-health-systems-joins-forces-with-regional-health-in-major-10-million-deal,"SunLink Health Systems and Regional Health Properties have announced a merger agreement, with SunLink shareholders owning approximately 43% of the combined company. The merger is expected to close in spring 2025 and generate $1 million in pre-tax cost synergies by fiscal 2026."
2025-01-06,2025-01-06T14:52:00Z,17,General,0,7,0,3,Carbon Fiber Reinforced Plastics (CFRP) Market to Reach USD 32.80 Billion by 2032 | CFRP's Role in Revolutionizing Aerospace and Automotive Efficiency,"HXL, OC, HUN, BA, BApA, TM, TSLA",7,,GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/06/3004751/0/en/Carbon-Fiber-Reinforced-Plastics-CFRP-Market-to-Reach-USD-32-80-Billion-by-2032-CFRP-s-Role-in-Revolutionizing-Aerospace-and-Automotive-Efficiency.html,"The Carbon Fiber Reinforced Plastics (CFRP) market is expected to grow significantly, driven by the increasing adoption of CFRP in the aerospace and automotive industries due to its lightweight and high-strength properties, which enhance fuel efficiency and performance."
2025-01-07,2025-01-07T17:53:31Z,24,Earnings,1,10,0,1,Why AppLovin Stock Is Plummeting Today,"APP, BAC, BACpB, BACpE, BACpK, BACpL, BACpM, BACpN, BACpO, BACpP, BACpQ, BACpS, BMLpG, BMLpH, BMLpJ, BMLpL, MERpK",17,revenue,The Motley Fool,https://www.fool.com/investing/2025/01/07/why-applovin-stock-is-plummeting-today/?source=iedfolrf0000001,"AppLovin's stock is down 9.6% as Bank of America analyst Omar Dessouky estimates the company's app revenue will decline 4% sequentially in Q4, below the average Wall Street estimate of a 2% increase. The analyst maintained a buy rating and $375 price target, noting that gaming revenue softness may not be a major headwind for overall performance."
2025-01-07,2025-01-07T15:00:00Z,23,General,0,10,0,3,Leading Utilities Maintain Momentum With Business Customers of All Sizes,"NGG, CNP, D, DTB, DTE, DTG, DTW, AEP, DUK, DUKB, DUKH, DUKpA, XEL",13,,GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/07/3005588/0/en/Leading-Utilities-Maintain-Momentum-With-Business-Customers-of-All-Sizes.html,"A new report from Escalent finds that business customer engagement with utilities has improved significantly, ending a trending decline that began in 2021. The Engaged Customer Relationship (ECR) score has turned around and reached 784 in 2024, with 24 utilities recognized as Business Utility Customer Champions for their exceptional performance."
2025-01-07,2025-01-07T10:00:00Z,23,Mixed,2,8,0,1,"Space Sensors and Actuators Market to surpass USD 10.9 billion by 2034, Says Global Market Insights inc.","AME, HON, MOG.A, MOG.B, RTX, TEL, TDY, TXN",8,"sec, miss",GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/07/3005132/0/en/Space-Sensors-and-Actuators-Market-to-surpass-USD-10-9-billion-by-2034-Says-Global-Market-Insights-inc.html,"The space sensors and actuators market is expected to grow at a CAGR of 14.2% between 2025 and 2034, driven by technological advancements in sensor and actuator design. The market is witnessing increased investments from government and private enterprises for space exploration missions, driving continuous innovation in the sector."
2025-01-07,2025-01-07T13:22:00Z,22,General,0,10,0,2,"The Smartest Dividend Stock ETF to Buy With $2,000 Right Now","VIG, VYM, AAPL, AMJB, JPM, JPMpC, JPMpD, JPMpJ, JPMpK, JPMpL, JPMpM, MSFT, AVGO, UNH",14,,The Motley Fool,https://www.fool.com/investing/2025/01/07/the-smartest-dividend-stock-etf-to-buy-with-2000-r/?source=iedfolrf0000001,"The article discusses the Vanguard Dividend Appreciation ETF (VIG) as a potential long-term investment option for investors who are not relying on their portfolio for immediate income. It highlights the fund's focus on companies with a strong track record of dividend growth, which can provide better total returns over time compared to high-yield dividend ETFs."
2025-01-07,2025-01-07T10:45:00Z,22,Earnings,1,9,0,1,2025 Is the Year of BATMMAAN. Artificial Intelligence (AI) Leader Nvidia Is the $1 Trillion Stock to Buy.,"AVGO, AAPL, TSLA, MSFT, META, GOOG, GOOGL, AMZN, NVDA",9,earnings,The Motley Fool,https://www.fool.com/investing/2025/01/07/2025-artificial-intelligence-trillion-dollar-nvda/?source=iedfolrf0000001,"The article discusses the BATMMAAN stocks, a group of tech companies with over $1 trillion market caps, and highlights Nvidia as the only one that still looks undervalued based on its price-to-earnings growth ratio. The article suggests Nvidia is a good buy heading into 2025 due to its strong growth prospects in the AI and data center markets."
2025-01-07,2025-01-07T17:57:00Z,21,General,0,10,0,1,"Immersion Cooling Fluids Market Set For 8.2% Growth, Reaching $2.15 Billion by 2032 Globally","MMM, BP, CVX, EMN, XOM, HON, PSX, SHEL, ITW, CC, DOW, TTE, VRT",13,,GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/07/3005766/0/en/Immersion-Cooling-Fluids-Market-Set-For-8-2-Growth-Reaching-2-15-Billion-by-2032-Globally.html,"The global immersion cooling fluids market is expected to grow at a CAGR of 8.2% from 2023 to 2032, driven by increasing demand from data centers, EV batteries, and solar photovoltaic cells. The market is segmented by type, technology, and end-use, with North America and Asia-Pacific being the key regional markets."
2025-01-07,2025-01-07T15:15:00Z,21,Earnings,1,8,0,2,These Were the 5 Top-Performing Stocks in the Dow Jones Industrial Average in 2024,"NVDA, WMT, AXP, GS, GSpA, GSpC, GSpD, AMZN",8,earnings,The Motley Fool,https://www.fool.com/investing/2025/01/07/these-were-the-5-top-performing-stocks-in-the-dow/?source=iedfolrf0000001,"The article discusses the top-performing Dow Jones stocks of 2024, including Nvidia, Walmart, American Express, and Goldman Sachs. It highlights the factors that contributed to their strong performance, such as AI enthusiasm, e-commerce growth, and consistent earnings growth."
2025-01-07,2025-01-07T11:45:00Z,21,Earnings,2,7,0,1,Is Rigetti Computing Stock a Buy in 2025?,"RGTI, RGTIW, GOOG, GOOGL, IBM, AMZN, MSFT",7,"revenue, quarter",The Motley Fool,https://www.fool.com/investing/2025/01/07/is-rigetti-computing-stock-a-buy-in-2025/?source=iedfolrf0000001,"Rigetti Computing, a quantum computer maker, has seen its stock surge 1,860% in the past six months. However, the company's quarterly revenue remains modest at $2.4 million, and it faces significant risks, including competition from tech giants and the long timeline for practical quantum computing applications."
2025-01-07,2025-01-07T13:00:12Z,20,Mixed,2,6,0,2,"US Stocks Could Open On A Tentative Note; Nvidia, AMD And Toyota On Investors' Radar: Experts Flag Over Reliance On AI, Tech Stocks","NVDA, AMD, MU, TM, SPY, QQQ",6,"war, sec",Benzinga,https://www.benzinga.com/markets/futures/25/01/42841776/us-stocks-could-open-on-a-tentative-note-nvidia-amd-and-toyota-on-investors-radar-experts-flag-ov,U.S. stocks could open on a tentative note as investors remain cautious about the market's reliance on AI and tech stocks. Experts warn that this overreliance could lead to a market correction or a bear market in the Nasdaq if a market rotation to other sectors does not occur soon.
2025-01-07,2025-01-07T02:00:00Z,20,Mixed,2,7,0,0,"Bragar Eagel & Squire, P.C. Reminds Investors That Class Action Lawsuits Have Been Filed Against Customers Bancorp, Rentokil, WBD, and Match and Encourages Investors to Contact the Firm","CUBB, CUBI, CUBIpE, CUBIpF, RTO, WBD, MTCH",7,"war, lawsuit",GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/07/3005058/0/en/Bragar-Eagel-Squire-P-C-Reminds-Investors-That-Class-Action-Lawsuits-Have-Been-Filed-Against-Customers-Bancorp-Rentokil-WBD-and-Match-and-Encourages-Investors-to-Contact-the-Firm.html,"Bragar Eagel & Squire, P.C. has announced that class action lawsuits have been filed against Customers Bancorp, Rentokil, Warner Bros. Discovery, and Match Group, alleging various issues related to the companies' operations and financial reporting."
2025-01-07,2025-01-07T17:50:00Z,18,Corporate Event,3,4,0,1,"BRODSKY & SMITH SHAREHOLDER UPDATE: Notifying Investors of the Following Investigations: Paycor HCM, Inc. (Nasdaq - PYCR), Shutterstock, Inc. (NYSE - SSTK), Universal Stainless & Alloy Products, Inc. (Nasdaq - USAP), EnLink Midstream, LLC (NYSE – ENLC)","PYCR, SSTK, USAP, ENLC",4,"investigation, deal, acquisition",GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/07/3005764/0/en/BRODSKY-SMITH-SHAREHOLDER-UPDATE-Notifying-Investors-of-the-Following-Investigations-Paycor-HCM-Inc-Nasdaq-PYCR-Shutterstock-Inc-NYSE-SSTK-Universal-Stainless-Alloy-Products-Inc-Na.html,"Brodsky & Smith is investigating several companies regarding potential breaches of fiduciary duties by their boards in relation to proposed acquisition deals, including Paycor HCM, Shutterstock, Universal Stainless & Alloy Products, and EnLink Midstream."
2025-01-07,2025-01-07T23:38:00Z,17,Mixed,5,1,0,0,"ROSEN, TRUSTED INVESTOR COUNSEL, Encourages Wolfspeed, Inc. Investors to Secure Counsel Before Important January 17 Deadline in Securities Class Action – WOLF",WOLF,1,"revenue, profit, lawsuit, sec, loss",GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/07/3005906/673/en/ROSEN-TRUSTED-INVESTOR-COUNSEL-Encourages-Wolfspeed-Inc-Investors-to-Secure-Counsel-Before-Important-January-17-Deadline-in-Securities-Class-Action-WOLF.html,"Wolfspeed, Inc. is facing a securities class action lawsuit regarding alleged misrepresentations about the operational status and profitability of its Mohawk Valley fabrication facility. The lawsuit claims that Wolfspeed provided overly positive revenue projections while concealing material adverse facts, leading to investor losses."
2025-01-07,2025-01-07T12:15:00Z,16,Earnings,1,6,0,1,Here Are My Top 5 Nasdaq Stock to Buy in 2025,"META, GOOG, GOOGL, ASML, PYPL, MELI",6,outlook,The Motley Fool,https://www.fool.com/investing/2025/01/07/here-are-my-top-5-nasdaq-stocks-to-buy-in-2025/?source=iedfolrf0000001,"The article discusses five Nasdaq stocks that could outperform the broader index in 2025: Meta Platforms, Alphabet, ASML, PayPal, and MercadoLibre. The author provides a bullish outlook on these stocks, citing their strong AI capabilities, attractive valuations, and growth potential."
2025-01-07,2025-01-07T10:46:00Z,16,Macro,1,6,0,1,"Investing $50,000 in Each of These 5 Stocks Could Make You Nearly $17,500 in Passive Income in 2025","ARCC, ET, ETpI, EPD, PFE, VZ",6,rate,The Motley Fool,https://www.fool.com/investing/2025/01/07/investing-50000-in-each-of-these-5-stocks-could-ma/?source=iedfolrf0000001,"Investing $50,000 in each of 5 high-yield dividend stocks - Ares Capital, Energy Transfer, Enterprise Products Partners, Pfizer, and Verizon - could generate around $17,500 in passive income in 2025."
2025-01-07,2025-01-07T03:51:00Z,16,Macro,2,5,0,0,NVIDIA Expands Omniverse With Generative Physical AI,"ACN, ATAO, ANSS, CDNS, MSFT",5,"rate, war",GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/07/3005071/0/en/NVIDIA-Expands-Omniverse-With-Generative-Physical-AI.html,"NVIDIA announced new generative AI models and blueprints that expand its Omniverse platform into physical AI applications such as robotics, autonomous vehicles, and vision AI. Leading software developers and professional services companies are adopting Omniverse to accelerate the next era of industrial AI."
2025-01-08,2025-01-08T18:03:03Z,30,Mixed,3,10,0,1,"Wall Street Mixed Ahead Of Fed Minutes, Dollar Bolsters Strength, Bitcoin Falls Below $95,000: What's Driving Markets Wednesday?","AMD, DIA, EBAY, IONQ, IONQ.WS, META, NVDA, QBTS, QBTS.WS, QUBT, RGTI, RGTIW",12,"fomc, ceo, fed",Benzinga,https://www.benzinga.com/economics/macro-economic-events/25/01/42882431/wall-street-mixed-ahead-of-fed-minutes-dollar-bolsters-strength-bitcoin-falls-bel,"Wall Street trades cautiously ahead of the release of the December FOMC meeting minutes, as the dollar surges and Bitcoin falls below $95,000. Quantum computing stocks decline after NVIDIA CEO's comments, while eBay rallies on news of integration with Facebook Marketplace."
2025-01-08,2025-01-08T10:52:00Z,27,Mixed,2,10,0,1,Here's the 1 Stock Warren Buffett Bought in 2024 He's Most Likely to Buy Again This Quarter,"CB, OXY, OXY.WS, SIRI, HEI, HEI.A, ULTA, DPZ, POOL, VRSN",10,"war, quarter",The Motley Fool,https://www.fool.com/investing/2025/01/08/heres-the-1-stock-warren-buffett-bought-in-2024-q1/?source=iedfolrf0000001,"Warren Buffett's Berkshire Hathaway bought several stocks in 2024, including Chubb, Occidental Petroleum, and Sirius XM. The article suggests that Occidental Petroleum is the most likely stock for Buffett to buy again this quarter, citing Buffett's positive sentiment towards the company and its relatively cheap valuation."
2025-01-08,2025-01-08T10:06:00Z,27,Mixed,2,10,0,1,325 Billion Reasons Warren Buffett Is Virtually Guaranteed to Buy His Favorite Stock in 2025,"BRK.A, BRK.B, AAPL, BAC, BACpB, BACpE, BACpK, BACpL, BACpM, BACpN, BACpO, BACpP, BACpQ, BACpS, BMLpG, BMLpH, BMLpJ, BMLpL, MERpK",19,"war, quarter",The Motley Fool,https://www.fool.com/investing/2025/01/08/325-billion-warren-buffett-buy-favorite-stock-2025/?source=iedfolrf0000001,"Warren Buffett's Berkshire Hathaway has accumulated a record $325 billion in cash, and the company is expected to use this to repurchase its own shares in 2025, as Buffett has been doing for the past 24 quarters."
2025-01-08,2025-01-08T14:18:00Z,26,Corporate Event,1,10,0,3,Historic API venture announces CEO,"ERIC, AMX, T, TBB, TpA, TpC, VIV, TMUS, VZ, VOD",10,ceo,Benzinga,https://www.benzinga.com/pressreleases/25/01/n42874575/historic-api-venture-announces-ceo,"Telecom operators and Ericsson have launched a new venture called Aduna, dedicated to accelerating the global adoption and innovation of common network APIs. Anthony Bartolo has been appointed as the CEO of Aduna."
2025-01-08,2025-01-08T18:40:02Z,25,Mixed,6,3,0,1,Nike's Getting Back To Being Nike,"NKE, FL, DKS",3,"revenue, rate, ceo, profit, quarter, beat",Benzinga,https://www.benzinga.com/news/small-cap/25/01/42883122/nikes-getting-back-to-being-nike,"Nike reported declining revenue and profit in its latest quarter, but beat estimates. The new CEO outlined a strategy to return the company to growth, focusing on key categories and restoring the trust of wholesale partners like Foot Locker and Dick's Sporting Goods."
2025-01-08,2025-01-08T16:52:00Z,24,Earnings,1,10,0,1,2024 Research Forecast Report: Global Healthcare Cognitive Computing Market Projected to Reach $150.25 Billion By 2035 from $10.81 Billion in 2024,"IBM, GOOG, GOOGL, MSFT, MDT, PHG, GEHC, HCAT, BFLY, BFLY.WS",10,forecast,GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/08/3006518/28124/en/2024-Research-Forecast-Report-Global-Healthcare-Cognitive-Computing-Market-Projected-to-Reach-150-25-Billion-By-2035-from-10-81-Billion-in-2024.html,"The global healthcare cognitive computing market is expected to grow from $10.81 billion in 2024 to $150.25 billion by 2035, driven by the adoption of cloud services, increase in chronic diseases, and the need for advanced patient data analysis."
2025-01-08,2025-01-08T15:41:57Z,24,Earnings,6,2,0,2,Cintas-Targeted Uniform Supplier UniFirst Reports Mixed Q1 Results; Adjusts Annual Revenue Outlook,"UNF, CTAS",2,"revenue, outlook, results, beat, guidance, eps",Benzinga,https://www.benzinga.com/25/01/42878530/unifirst-reports-q1-results-adjusted-eps-beats-estimates-despite-sales-miss,"UniFirst reported mixed Q1 results, with adjusted EPS beating estimates but revenue slightly below consensus. The company revised its FY25 revenue outlook but maintained EPS guidance. Cintas had submitted a proposal to acquire UniFirst, which was rejected by the company."
2025-01-08,2025-01-08T10:12:00Z,24,Macro,1,10,0,1,Warren Buffett's Warning to Investors Is Hard to Ignore,"BRK.A, BRK.B, AAPL, SNOW, PARA, PARAA, HPQ, CB, DPZ, POOL",10,war,The Motley Fool,https://www.fool.com/investing/2025/01/08/warren-buffetts-warning-to-investors-is-hard-to-ig/?source=iedfolrf0000001,"The article discusses how Warren Buffett's Berkshire Hathaway has been selling stocks, suggesting a potential market downturn, but advises that investors shouldn't avoid the market completely and should focus on finding individual bargains."
2025-01-08,2025-01-08T10:45:27Z,21,Mixed,2,7,0,1,US Stocks To Open Higher As Futures Advance: Christopher Wood Expects Trump's Inflationary Policies To Hurt Market,"AYI, AIR, FUBO, BHAT, XTIA, SPY, QQQ",7,"outlook, inflation",Benzinga,https://www.benzinga.com/25/01/42868387/us-stocks-to-open-higher-as-futures-advance-christopher-wood-expects-trumps-inflationary-policies-to-hurt-market,"U.S. stock futures advanced on Wednesday, but the market has remained sluggish in the past few days. Christopher Wood from Jefferies expects Trump's inflationary policies to hurt the market, while analysts remain bullish on the long-term outlook."
2025-01-08,2025-01-08T15:00:00Z,20,Macro,1,7,0,3,IoT Breakthrough Recognizes Standout Internet-of-Things Innovators in 9th Annual IoT Breakthrough Awards Program,"SONO, REZI, ADT, CSCO, EMR, VOD, ERIC",7,war,GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/08/3006394/0/en/IoT-Breakthrough-Recognizes-Standout-Internet-of-Things-Innovators-in-9th-Annual-IoT-Breakthrough-Awards-Program.html,"The IoT Breakthrough Awards program recognized the top companies and products driving innovation in the Internet-of-Things industry, including advancements in connected homes, industrial IoT, and smart city technologies."
2025-01-08,2025-01-08T01:39:00Z,20,Mixed,6,1,0,0,"Symbotic (SYM) Restates Financials, Faces Scrutiny Amid Accounting Concerns – Hagens Berman",SYM,1,"revenue, investigation, profit, lawsuit, sec, quarter",GlobeNewswire Inc.,https://www.globenewswire.com/news-release/2025/01/08/3005923/32716/en/Symbotic-SYM-Restates-Financials-Faces-Scrutiny-Amid-Accounting-Concerns-Hagens-Berman.html,"Symbotic Inc. has filed restated financial statements for three fiscal 2024 quarters, revealing significant errors in its previously reported revenue and profitability figures. The company is facing a securities fraud class action lawsuit, and a prominent law firm has launched an investigation into the accounting errors."
