date,published_at,composite_score,catalyst_type,api_relevance,relevance_norm,keyword_score,source_score,recency_score,title,description,snippet,categories,query_bucket,keywords_matched,source,url
2026-01-16,2026-01-16T16:49:44.000000Z,19.02,Macro,30.192848,1.51,5,0,1,"Fed’s Bowman sees risks to job market, says Fed 'should be ready' to cut rates","Federal Reserve Vice Chair for Supervision Michelle Bowman said Friday that the central bank should be ready to cut interest rates further, citing ""signs of fra...","Federal Reserve Vice Chair for Supervision Michelle Bowman said Friday that the central bank should be ready to cut interest rates further, citing ""signs of fra...","business, general",macro,"interest rate, unemployment, inflation, fed, central bank",finance.yahoo.com,https://finance.yahoo.com/news/feds-bowman-sees-risks-to-job-market-says-fed-should-be-ready-to-cut-rates-164944625.html
2026-01-16,2026-01-16T16:14:00.000000Z,13.88,Corporate Event,28.80952,1.44,3,0,2,Goldman Sachs' profits jump on hot merger market,"NEW YORK — Goldman Sachs’ quarterly profits jumped on robust merger activity as clients seize a “window” of opportunity during the Trump administration,...","NEW YORK — Goldman Sachs’ quarterly profits jumped on robust merger activity as clients seize a “window” of opportunity during the Trump administration,...","business, general",corporate,"profit, merger, quarterly",manilatimes.net,https://www.manilatimes.net/2026/01/17/business/foreign-business/goldman-sachs-profits-jump-on-hot-merger-market/2260279
2026-01-16,2026-01-16T16:01:44.000000Z,13.86,Macro,28.679436,1.43,3,0,2,Bowman says Fed should be ready to cut rates again amid job market risks,"FOXBOROUGH, Massachusetts, Jan 16 () - Federal Reserve Vice Chair for Supervision Michelle Bowman said on Friday a fragile job market that could weaken quickly ...","FOXBOROUGH, Massachusetts, Jan 16 (Reuters) - Federal Reserve Vice Chair for Supervision Michelle Bowman said on Friday a fragile job market that could weaken q...","business, general",macro,"inflation, fed, central bank",finance.yahoo.com,https://finance.yahoo.com/news/bowman-says-fed-ready-cut-160144762.html
2026-01-16,2026-01-16T14:31:39.000000Z,13.44,Earnings,44.48243,2.22,2,0,3,"RIL’s Q3 profit growth flat, revenue 10.5% higher","RIL’s Q3 profit growth flat, revenue 10.5% higher","Reliance Industries reported a virtually flat growth in the third quarter of FY26 on higher expenses, while revenue rose 10.5 per cent, driven by significant gr...","business, general",earnings,"profit, revenue",thehindubusinessline.com,https://www.thehindubusinessline.com/companies/rils-q3-profit-growth-flat-revenue-105-higher/article70515371.ece
2026-01-16,2026-01-16T05:32:50.000000Z,12.8,Energy/Commodity,37.9328,1.9,3,0,0,"Gold price prediction: What's the gold outlook for January 16, 2026 & does sell on rise make sense?","India Business News: Gold price prediction today: Gold may see some profit booking having rallied strongly, says Jateen Trivedi, VP Research Analyst - Commodity...","Stage is set for a corrective move, making higher levels vulnerable to selling pressure during the session. (AI image)

Gold price prediction

today

Gold may s...","business, general",energy_commodity,"profit, analyst, outlook",timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/business/india-business/gold-price-prediction-today-what-is-the-gold-rate-outlook-for-january-16-2026-should-you-buy-or-sell-mcx-gold/articleshow/126558206.cms
2026-01-16,2026-01-16T13:57:07.000000Z,12.5,Earnings,44.946754,2.25,2,0,2,Wipro profit under pressure by one-off costs; growth guidance revised upwards,Wipro profit under pressure by one-off costs; growth guidance revised upwards,"Wipro’s gross revenue rose to ₹23,560 crore during the December-ended quarter, reflecting growth of 1.2 per cent quarter-on-quarter and 0.2 per cent year-on...","business, general",earnings,"profit, guidance",thehindubusinessline.com,https://www.thehindubusinessline.com/info-tech/wipro-profit-under-pressure-by-one-off-costs-growth-guidance-revised-upwards/article70515158.ece
2026-01-16,2026-01-16T14:59:35.000000Z,12.18,Corporate Event,31.756788,1.59,2,0,3,Major chicken chain franchisee files for bankruptcy — what went wrong behind the scenes,"Sailormen Inc, a major Popeyes franchisee, filed for bankruptcy, putting 130 restaurants at risk. Debt, failed sales, Covid-19, inflation, and rent problems cau...","Popeyes support and leadership updates

Bankruptcy explained for Sailormen Inc

Live Events

FAQs



as a Reliable and Trusted News Source Addas a Reliable and ...","general, business",corporate,"inflation, bankruptcy",economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/international/us/major-chicken-chain-franchisee-files-for-bankruptcy-what-went-wrong-behind-the-scenes/articleshow/126576362.cms
2026-01-16,2026-01-16T15:37:56.000000Z,10.78,Macro,27.853992,1.39,2,0,2,How Jerome Powell could stay at the Federal Reserve until 2028,"Although Powell's term as chair ends on May 15, he could remain at the Fed to fulfill a separate term on governing board of the central bank.",The Justice Department’s investigation into Federal Reserve Chair Jerome Powell has brought heightened attention to a key drama that will play out at the cent...,"general, business, tech",macro,"fed, central bank",fastcompany.com,https://www.fastcompany.com/91476311/justice-departments-investigation-into-fed-raises-key-question-will-jerome-powell-exit-may?partner=rss&amp;utm_source=rss&amp;utm_medium=feed&amp;utm_campaign=rss+fastcompany&amp;utm_content=rss
2026-01-16,2026-01-16T18:34:32.000000Z,10.24,Corporate Event,32.41361,1.62,2,0,1,Major Popeyes chicken franchisee files for Chapter 11 bankruptcy – Here's what we know,"Sailormen Inc., a major operator of Popeyes restaurants, filed for Chapter 11 bankruptcy due to financial pressures like inflation and rising costs. The company...","A major operator of fast-food chicken restaurants in the United States has filed for Chapter 11 bankruptcy protection, highlighting financial pressures in the q...","general, business",corporate,"inflation, bankruptcy",livemint.com,https://www.livemint.com/news/us-news/major-popeyes-chicken-franchisee-files-for-chapter-11-bankruptcy-heres-what-we-know-11768587458708.html
2026-01-16,2026-01-16T02:48:13.000000Z,7.86,Macro,18.601017,0.93,2,0,0,Taiwan aims to be strategic AI partner with US under tariff deal,"The Trump administration ‌has pushed ‌Taiwan, a major semiconductor producer, to invest more in the U.S., specifically ‌in making the chips that are power...",Taiwan aims to become a close strategic ‍artificial intelligence partner with the United States thanks to a ⁠deal to reduce tariffs and boost Taiwanese inve...,"tech, business, general",tech,"tariff, deal",economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/artificial-intelligence/taiwan-aims-to-be-strategic-ai-partner-with-us-under-tariff-deal/articleshow/126556071.cms
2026-01-16,2026-01-16T06:27:32.000000Z,6.66,Energy/Commodity,36.640003,1.83,1,0,0,OPEC regains share in India as Russian oil imports slump in December,OPEC's share of Indian oil imports rises as Russian oil imports hit a two-year low amid tightening sanctions.,"India’s Russian oil imports fell to their lowest level in two years in December, ‌as Western sanctions pushed refiners to tap alternatives, lifting OPEC’s...","business, general",energy_commodity,sanction,thehindubusinessline.com,https://www.thehindubusinessline.com/markets/commodities/opec-regains-share-in-india-as-russian-oil-imports-slump-in-december/article70513441.ece
2026-01-16,2026-01-16T10:00:17.000000Z,5.86,Technology,18.685892,0.93,1,0,1,What’s Keeping VCs From Backing India’s Homegrown Semiconductor Ambitions?,"In 2025, semiconductor startups raised roughly $50 Mn, up sharply from over $28 Mn in 2024 and just $5 Mn-plus in 2023","Investor interest is growing in less capital-intensive areas like chip design and specialised semiconductors, with funding expected to pick up over the next few...","business, tech",tech,raised,inc42.com,https://inc42.com/features/whats-keeping-vcs-from-backing-indias-homegrown-semiconductor-ambitions/
2026-01-16,2026-01-16T09:08:23.000000Z,3.88,Macro,28.8698,1.44,0,0,1,"Gold price falls again on Friday, check gold rate predictions for February. Silver price drops from all-time high, platinum drops too",Gold rate on Friday fell and gold futures price for February was also down.,"(Catch all the US News, UK News, Canada News, International Breaking News Events, and Latest News Updates on The Economic Times.)

Download The Economic Times N...","general, business",energy_commodity,,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/international/us/gold-price-falls-again-on-friday-check-gold-rate-predictions-for-february/articleshow/126562259.cms
2026-01-16,2026-01-16T11:00:00.000000Z,2.88,Biotech/Pharma,18.84074,0.94,0,0,1,Quantitative MYD88L265P and CXCR4S338X analysis to assess clinical trial performance in Waldenstrom Macroglobulinemia,Quantitative MYD88L265P and CXCR4S338X analysis to assess clinical trial performance in Waldenstrom Macroglobulinemia,"Name of saved search:

Search terms:

Would you like email updates of new search results?

Frequency: Monthly Weekly Daily

Which day? The first Sunday The firs...",health,health_pharma,,ncbi.nlm.nih.gov,https://pubmed.ncbi.nlm.nih.gov/41544209/
2026-01-17,2026-01-17T06:45:03.000000Z,17.96,Earnings,29.575603,1.48,5,0,0,JioStar Q3 revenue rises on strong subscription and digital ad growth,"JioStar’s third-quarter revenue rose 11.6% quarter-on-quarter to  ₹6,896 crore, while its profit before tax fell 32.2% to  ₹898 crore. Earnings before int...","JioStar, the Reliance-controlled media and entertainment company, reported a higher sequential revenue from operations in the December quarter, driven by strong...","business, general",earnings,"profit, revenue, merger, results, earnings",livemint.com,https://www.livemint.com/companies/company-results/jiostar-q3-results-reliance-jio-q3-results-11768576654039.html
2026-01-17,2026-01-17T04:05:52.000000Z,14.88,Earnings,28.825039,1.44,4,0,0,"Wipro cuts fresher hiring guidance, focuses on AI talent amid Q3 profit decline","Wipro lowers fresher hiring to 7,500-8,000 for FY26, prioritizes AI talent, adds 6,500 employees, with Q3 profit down 7% and revenue up 5.5%.","IT major Wipro on Friday revised its fresher hiring guidance for the current fiscal year (FY26), stating it now expects to onboard 7,500-8,000 graduates, down f...","business, general",earnings,"profit, revenue, results, guidance",thehindubusinessline.com,https://www.thehindubusinessline.com/info-tech/wipro-cuts-fresher-hiring-guidance-to-7500-8000-for-fy26/article70517559.ece
2026-01-17,2026-01-17T00:30:00.000000Z,14.16,Macro,31.507618,1.58,3,2,0,"This Week In Markets: Fed Pressure, Tariff Talk, And Geopolitical Risks","Political pressure on the Federal Reserve, tariff rhetoric, and shifting geopolitical signals created sector-level volatility without disrupting the broader equ...","To ensure this doesn’t happen in the future, please enable Javascript and cookies in your browser.

If you have an ad-blocker enabled you may be blocked from ...",business,macro,"tariff, fed, sec",seekingalpha.com,https://seekingalpha.com/article/4860637-this-week-in-markets-fed-pressure-tariff-talk-geopolitical-risks
2026-01-17,2026-01-17T16:51:47.000000Z,10.04,Earnings,30.432209,1.52,2,0,1,"IDBI Bank Q3 net profit remains almost flat at ₹1,935 crore","IDBI Bank's Q3 net profit rises slightly to ₹1,935 crore, with total income and interest income declining.","IDBI Bank on Saturday (January 17, 2026) reported almost flat profit at ₹1,935 crore for the third quarter ended December 2025.

The LIC-controlled bank repor...",business,earnings,"profit, earnings",thehindu.com,https://www.thehindu.com/business/idbi-bank-q3-net-profit-remains-almost-flat-at-1935-crore/article70519754.ece
2026-01-17,2026-01-17T14:26:31.000000Z,9.14,Corporate Event,31.425117,1.57,1,0,3,Struggling travel company files for Chapter 11 bankruptcy,"While we are still less than one month into 2026, several travel companies in different parts of the world have already had to shut down or file for bankruptcy....","While we are still less than one month into 2026, several travel companies in different parts of the world have already had to shut down or file for bankruptcy....","business, general",corporate,bankruptcy,finance.yahoo.com,https://finance.yahoo.com/news/struggling-travel-company-files-chapter-142631661.html
2026-01-17,2026-01-17T16:31:20.000000Z,7.88,Energy/Commodity,38.801624,1.94,1,0,1,Crude Check: Rally Still Alive,"Crude oil futures show bullish momentum; maintain long positions with targets of ₹5,650 and $69 for Brent.",Brent crude oil futures on the Intercontinental Exchange (ICE) ($64.10/barrel) was up 1.2 per cent last week whereas crude oil futures in the domestic market (?...,"business, general",energy_commodity,forecast,thehindubusinessline.com,https://www.thehindubusinessline.com/portfolio/commodity-analysis/crude-check-rally-still-alive/article70518120.ece
2026-01-17,2026-01-17T16:11:00.000000Z,7.74,Macro,27.342888,1.37,1,0,2,SKorea: US chip tariff has little impact,SEOUL — South Korea’s trade minister said on Saturday that a US proclamation imposing a 25 percent tariff on certain advanced computing chips would have a l...,SEOUL — South Korea’s trade minister said on Saturday that a US proclamation imposing a 25 percent tariff on certain advanced computing chips would have a l...,"business, general",macro,tariff,manilatimes.net,https://www.manilatimes.net/2026/01/18/business/top-business/skorea-us-chip-tariff-has-little-impact/2260693
2026-01-17,2026-01-17T18:07:15.000000Z,6.72,Macro,27.145102,1.36,1,0,1,Trade policy rethink: GTRI calls for tariff overhaul; simpler customs to cut costs and lift exports,"India Business News: India needs a comprehensive overhaul of its import tariff structure and customs administration to reduce trade costs, improve manufacturing...","India needs a comprehensive overhaul of its import tariff structure and customs administration to reduce trade costs, improve manufacturing competitiveness and ...","business, general",macro,tariff,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/business/india-business/trade-policy-rethink-gtri-calls-for-tariff-overhaul-simpler-customs-to-cut-costs-and-lift-exports/articleshow/126624152.cms
2026-01-17,2026-01-17T23:31:30.000000Z,6.0,Corporate Event,29.939955,1.5,1,0,0,Major commercial truck company files for Chapter 11 bankruptcy,The commercial truck industry has faced economic distress over the last year that has resulted in certain companies shutting down operations and going out of bu...,The commercial truck industry has faced economic distress over the last year that has resulted in certain companies shutting down operations and going out of bu...,"business, general",corporate,bankruptcy,finance.yahoo.com,https://finance.yahoo.com/news/major-commercial-truck-company-files-233130590.html
2026-01-17,2026-01-17T00:11:58.000000Z,5.62,Corporate Event,26.151691,1.31,1,0,0,CN Statement on STB Rejection of Incomplete UP-NS Merger Application,"HOMEWOOD, Ill., Jan. 16, 2026 (GLOBE NEWSWIRE) -- CN (TSX: CNR) (NYSE: CNI) today issued the following statement in response to the Surface Transportation Board...","HOMEWOOD, Ill., Jan. 16, 2026 (GLOBE NEWSWIRE) -- CN (TSX: CNR) (NYSE: CNI) today issued the following statement in response to the Surface Transportation Board...","business, general",corporate,merger,manilatimes.net,https://www.manilatimes.net/2026/01/17/tmt-newswire/globenewswire/cn-statement-on-stb-rejection-of-incomplete-up-ns-merger-application/2260584
2026-01-17,2026-01-17T03:04:28.000000Z,4.46,Macro,14.60873,0.73,1,0,0,University of Washington expands infrastructure with $10M in federal funding,"In a significant development for public artificial intelligence research, Washington Senator Patty Murray announced a $10 million federal funding package for","When Public Meets AI: University of Washington Receives $10 Million Federal Boost

In a significant development for public artificial intelligence research, Was...",tech,tech,fed,uctoday.com,https://commstrader.com/technology/university-of-washington-expands-infrastructure-with-10m-in-federal-funding/
2026-01-17,2026-01-17T10:32:09.000000Z,3.72,Energy/Commodity,27.236773,1.36,0,0,1,Gold-to-silver ratio hits 13-year low as silver’s 170% surge leaves gold behind. What should investors do?,"Gold-to-silver ratio fell to 50, lowest since 2012, as silver surged 170% since 2025, far outperforming golds 76% rise. Silver hit record MCX highs, narrowing v...","Live Events



as a Reliable and Trusted News Source Addas a Reliable and Trusted News Source Add Now!

(You can now subscribe to our

(You can now subscribe to...",business,energy_commodity,,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/commodities/news/gold-to-silver-ratio-hits-13-year-low-as-silvers-170-surge-leaves-gold-behind-what-should-investors-do/articleshow/126611341.cms
2026-01-17,2026-01-17T11:00:00.000000Z,2.9,Biotech/Pharma,18.98959,0.95,0,0,1,"Influence of Tripterygium wilfordii Hook F and Caulis Sinomenii with traditional Chinese medicine directed drug delivery on CD3+, CD4+, CD8+ and joint function in rheumatoid arthritis patients","These findings suggest that integrating herbal treatment with TCM targeted drug delivery synergistically enhances immunomodulation, improves joint function, all...","Background: Rheumatoid arthritis (RA) is characterised by persistent synovitis and progressive joint destruction, frequently accompanied by abnormal T-cell subs...",health,health_pharma,,ncbi.nlm.nih.gov,https://pubmed.ncbi.nlm.nih.gov/41546574/
2026-01-17,2026-01-17T20:52:02.000000Z,2.74,Energy/Commodity,27.376549,1.37,0,0,0,"Gold ETFs: GLD is the Largest, But GLDM Provides Cheaper Gold Exposure",Expense differences and fund scale may impact which gold ETF best fits your portfolio strategy.,There are some ETF comparisons that every investor should know about. I believe that to be the case when it comes to SPDR Gold Shares (GLD) and SPDR Gold MiniSh...,"business, general",energy_commodity,,finance.yahoo.com,https://finance.yahoo.com/news/gold-etfs-gld-largest-gldm-205202602.html
2026-01-17,2026-01-17T18:52:01.000000Z,2.48,Technology,14.827616,0.74,0,0,1,The Rise of AI and Its Impact on Mental Health,"The rise of artificial intelligence comes with risks and benefits for our mental health, requiring a thoughtful, mindful way forward.","Source: AGK42/Pexels

We are being immersed in a world with all types of artificial intelligence (AI). Most of us feel a mix of amazement and astonishment, and ...",tech,tech,,flipboard.com,https://www.psychologytoday.com/us/blog/mindful-metaphors/202601/the-rise-of-ai-and-its-impact-on-mental-health
2026-01-18,2026-01-18T16:27:03.000000Z,20.18,Earnings,31.712374,1.59,5,0,2,JioStar QoQ profit declines 33% in face of ad pressure,"JioStar's net profit fell 33% quarter-on-quarter to ₹888 crore, despite a 12% rise in revenue to ₹6,896 crore, driven by growth in sports and entertainment....","Live Events



as a Reliable and Trusted News Source Addas a Reliable and Trusted News Source Add Now!

(You can now subscribe to our

(You can now subscribe to...","business, general",earnings,"profit, ceo, revenue, quarterly, results",economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/media/entertainment/media/jiostar-qoq-profit-declines-33-in-face-of-ad-pressure/articleshow/126650361.cms
2026-01-18,2026-01-18T16:30:00.000000Z,13.36,Macro,23.6735,1.18,3,0,2,Complacency risk for economy as tariff wars re-emerge,"A deterioration in the job market could spare Australian borrowers interest rate hikes in 2026, an economist says.","Australia’s economy shook off the threat of a tariff meltdown in 2025 but is at risk of a correction if complacency sets in.

The resilience of the domestic a...","general, politics, business",macro,"interest rate, tariff, rate hike",michaelwest.com.au,https://michaelwest.com.au/complacency-risk-for-economy-as-tariff-wars-re-emerge/
2026-01-18,2026-01-18T22:50:46.000000Z,11.98,Corporate Event,29.83403,1.49,3,0,0,First Trust Merger Arbitrage ETF (MARB US) - Investment Proposition,First Trust Merger Arbitrage ETF (MARB) provides exposure to corporate merger-and-acquisition events by seeking to capture the spread between announced deal…,"First Trust Merger Arbitrage ETF (MARB US) – Investment Proposition

First Trust Merger Arbitrage ETF (MARB) provides exposure to corporate merger-and-acquisi...",business,corporate,"acquisition, merger, deal",etfstrategy.com,https://www.etfstrategy.com/marb_us-investment-proposition/
2026-01-18,2026-01-18T04:43:33.000000Z,11.48,Macro,24.80965,1.24,3,0,0,Charting the global economy: Powell Probe; Iran Protests,"US Federal Reserve faces pressure as Iran's protests escalate, challenging its leadership. Global markets react to geopolitical shifts and economic forecasts. E...","It seems like you're already an ETPrime member with

Login using your ET Prime credentials to enjoy all member benefits

Log out of your current logged-in accou...","business, general",macro,"forecast, inflation, fed",economictimes.indiatimes.com,https://economictimes.indiatimes.com/small-biz/trade/exports/insights/charting-the-global-economy-powell-probe-iran-protests/articleshow/126637073.cms
